symbol,signal_date,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration_days,exit_reason,hit_min_target
ADOR,2026-07-15,2026-07-16,1344.9,2026-07-21,1546.64,15.0,5,target_hit,True
APCOTEXIND,2026-07-27,2026-07-28,591.0,2026-07-29,679.65,15.0,1,target_hit,True
ASHOKLEY,2025-08-18,2025-08-19,131.76,2025-11-14,151.52,15.0,87,target_hit,True
ASHOKLEY,2025-11-27,2025-11-28,158.0,2026-01-01,181.7,15.0,34,target_hit,True
AUTOAXLES,2026-01-02,2026-01-05,1969.2,2026-04-06,1665.7,-15.41,91,time_stop,False
NAM-INDIA,2025-06-06,2025-06-09,802.0,2025-09-03,816.15,1.76,86,time_stop,False
BEL,2025-06-20,2025-06-23,411.0,2025-09-17,412.2,0.29,86,time_stop,False
BEML,2025-06-20,2025-06-23,2325.2,2025-09-17,2201.7,-5.31,86,time_stop,False
BIRLACORPN,2025-07-22,2025-07-23,1473.0,2025-10-20,1179.7,-19.91,89,time_stop,False
MAZDOCK,2025-04-29,2025-04-30,3073.7,2025-05-16,3534.75,15.0,16,target_hit,True
GRAPHITE,2025-07-14,2025-07-15,595.0,2025-10-10,563.25,-5.34,87,time_stop,False
CARBORUNIV,2026-06-17,2026-06-18,1138.0,2026-07-29,1056.0,-7.21,41,time_stop,False
CESC,2025-10-15,2025-10-16,171.25,2026-01-13,160.1,-6.51,89,time_stop,False
EXIDEIND,2026-07-02,2026-07-03,421.15,2026-07-29,435.65,3.44,26,time_stop,False
COSMOFIRST,2026-07-03,2026-07-06,861.7,2026-07-29,889.1,3.18,23,time_stop,False
CGPOWER,2026-05-07,2026-05-08,860.35,2026-07-29,829.5,-3.59,82,time_stop,False
DCMSHRIRAM,2025-06-13,2025-06-16,1140.0,2025-07-03,1311.0,15.0,17,target_hit,True
EQUITASBNK,2026-06-08,2026-06-09,75.2,2026-07-29,73.13,-2.75,50,time_stop,False
EIDPARRY,2025-06-25,2025-06-26,1055.0,2025-07-29,1213.25,15.0,33,target_hit,True
FEDERALBNK,2026-01-19,2026-01-20,278.0,2026-04-21,295.75,6.38,91,time_stop,False
FEDERALBNK,2026-07-17,2026-07-20,341.5,2026-07-29,359.15,5.17,9,time_stop,False
FINCABLES,2026-05-27,2026-05-29,1155.0,2026-07-29,984.9,-14.73,61,time_stop,False
GABRIEL,2025-06-30,2025-07-01,842.75,2025-07-02,969.16,15.0,1,target_hit,True
GABRIEL,2026-07-15,2026-07-16,1370.0,2026-07-29,1414.8,3.27,13,time_stop,False
GARFIBRES,2025-07-22,2025-07-23,965.0,2025-10-20,765.25,-20.7,89,time_stop,False
GLAXO,2025-05-27,2025-05-28,3053.3,2025-08-21,2711.4,-11.2,85,time_stop,False
GODFRYPHLP,2025-08-05,2025-08-06,3306.0,2025-08-07,3801.9,15.0,1,target_hit,True
GLAND,2026-06-30,2026-07-01,2495.0,2026-07-29,2543.7,1.95,28,time_stop,False
HEG,2025-07-17,2025-07-18,559.0,2025-10-15,511.3,-8.53,89,time_stop,False
HEG,2025-10-29,2025-10-30,578.0,2025-12-31,664.7,15.0,62,target_hit,True
IDBI,2025-05-20,2025-05-21,92.0,2025-06-30,105.8,15.0,40,target_hit,True
IFCI,2026-06-02,2026-06-03,72.3,2026-06-04,83.14,15.0,1,target_hit,True
INDIACEM,2026-01-08,2026-01-09,470.0,2026-04-10,385.9,-17.89,91,time_stop,False
INDIAGLYCO,2025-06-24,2025-06-25,985.7,2025-09-19,873.0,-11.43,86,time_stop,False
GMMPFAUDLR,2025-07-30,2025-07-31,1350.0,2025-10-29,1232.6,-8.7,90,time_stop,False
INGERRAND,2025-07-10,2025-07-11,4178.5,2025-10-08,4012.4,-3.98,89,time_stop,False
IOC,2025-10-29,2025-10-30,158.24,2026-01-28,162.85,2.91,90,time_stop,False
IPCALAB,2025-07-24,2025-07-25,1552.0,2025-10-23,1276.8,-17.73,90,time_stop,False
KAJARIACER,2026-06-24,2026-06-25,1218.4,2026-07-29,1209.7,-0.71,34,time_stop,False
KPIL,2026-06-16,2026-06-17,1380.8,2026-07-29,1303.4,-5.61,42,time_stop,False
KARURVYSYA,2025-10-20,2025-10-21,241.31,2026-01-05,277.51,15.0,76,target_hit,True
CARYSIL,2026-06-10,2026-06-11,1205.0,2026-07-29,1178.4,-2.21,48,time_stop,False
WHEELS,2025-09-17,2025-09-18,819.85,2025-10-08,942.83,15.0,20,target_hit,True
WHEELS,2026-06-29,2026-06-30,1795.0,2026-07-29,1434.5,-20.08,29,time_stop,False
WSTCSTPAPR,2026-05-06,2026-05-07,532.9,2026-07-29,570.3,7.02,83,time_stop,False
NAVA,2025-07-23,2025-07-24,634.75,2025-09-15,729.96,15.0,53,target_hit,True
PANACEABIO,2025-04-03,2025-04-04,477.15,2025-04-21,548.72,15.0,17,target_hit,True
HDFCAMC,2025-06-06,2025-06-09,2496.9,2025-08-22,2871.44,15.0,74,target_hit,True
SHRIRAMFIN,2025-12-19,2025-12-22,919.0,2026-02-09,1056.85,15.0,49,target_hit,True
CREDITACC,2025-07-23,2025-07-24,1350.1,2025-10-21,1295.7,-4.03,89,time_stop,False
SHARDAMOTR,2025-07-02,2025-07-03,1049.7,2025-07-07,1207.16,15.0,4,target_hit,True
KRBL,2025-05-19,2025-05-20,351.4,2025-07-04,404.11,15.0,45,target_hit,True
KRBL,2025-08-08,2025-08-11,427.95,2025-08-13,492.14,15.0,2,target_hit,True
PILANIINVS,2025-10-03,2025-10-06,5649.5,2026-01-01,5179.0,-8.33,87,time_stop,False
APARINDS,2025-07-29,2025-07-30,9710.0,2025-10-28,9107.5,-6.2,90,time_stop,False
FORCEMOT,2025-05-02,2025-05-05,10062.5,2025-05-28,11571.88,15.0,23,target_hit,True
WELENT,2026-06-30,2026-07-01,604.0,2026-07-29,593.15,-1.8,28,time_stop,False
